path,classification,reason_and_boundary,follow_up,baseline_sha256
docs/product/assurance-packet.schema.json,compat,기존 Execution Contract/Assurance Packet schema·예시; #80/#82와 별도 version 경계,"#80, #82",33d409071a71c021f9b828119e9854f84c34d2a4131ea008c52c106535efc0e1
docs/product/context-comparison-package.schema.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",d8ab64b64f3d6636e89514cffadd7fe18dc6381653a8a1fd6ad55bc91a09329a
docs/product/context-guarantee-matrix.proposed.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",b786ca8e0aa22f1264ca5a0bde0036e92fb1f2be172dd1fed374235e5ca5a92c
docs/product/context-guarantee-matrix.schema.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",b9e9350b5d0fced8b4f6b5d2003668d21014bf2ef5031e7760f98864bfe56f70
docs/product/context-status-report.example.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",aab5f8bdf1719d4f325282501d103af454e80ca428a53efa6e440562bf632dff
docs/product/context-status-report.schema.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",e9a7803608d62ba2c7b6d026d1562a9bb04c709ef23141b05da4fdb9d0d4b07f
docs/product/control-profile-compiler.example.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",8e915032d241d2e5548e9888da03d069db502d0d623460ba846412047d063c2e
docs/product/control-profile-compiler.schema.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",e1499bd3aa95b82bac0e7ce673672fffe37d07c248a45ff49375c60d7ba01a2e
docs/product/control-validation.example.json,compat,구 Guarantee/Control 표현 및 runtime matrix 소비; 공용 검증과 Control category 분리,"#80, #82, #83",5b425d5967df62b00e3c46948793244bf562713908e83f67f36b282a0ecd57b6
docs/product/control-validation.schema.json,compat,구 Guarantee/Control 표현 및 runtime matrix 소비; 공용 검증과 Control category 분리,"#80, #82, #83",bf85233a6dadde46e527aee4fa28aba6ebc204833e3db41caef5bdb9f4571d85
docs/product/guarantee-matrix.schema.json,compat,구 Guarantee/Control 표현 및 runtime matrix 소비; 공용 검증과 Control category 분리,"#80, #82, #83",483dd74a13c425845b6a293bb657efd1f2c2dafd22593517bc614554e87fb8a6
docs/product/guarantee-matrix.v1.json,compat,구 Guarantee/Control 표현 및 runtime matrix 소비; 공용 검증과 Control category 분리,"#80, #82, #83",def1f179e5b73de15ccc0dbb495b4cfdbd4a8aa41fbd88ba8182aade9715c7ff
docs/product/m4.5-contracts.md,compat,현재 MCP 25개 계약의 해석 기준; 새 lifecycle 승인/완료 증거 아님,"#80, #81, #82",6833f90e2dfaca3bd004ac463250c320ee9930aabf127917bef46c0205e301b3
docs/product/managed-task-runtime.example.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",5857508fb8e8bed300d1fcc9dc0a9ee9276d80bee769035df787e38872be667e
docs/product/managed-task-runtime.schema.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",57d95eb274a2a5bdf9b05caae63d284f476dd8351d997db5bcca656643dc5ac0
docs/product/project-baseline.example.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",efde54f550fde6bb978d80694c795e43999268686936422508cc0353feb28d27
docs/product/project-baseline.schema.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",f3b90fce4e89de29bb6917400d2453e1e377647a2abb7ae253c1f33f34f813ea
docs/product/task-execution-contract.example.json,compat,기존 Execution Contract/Assurance Packet schema·예시; #80/#82와 별도 version 경계,"#80, #82",62f97946f2d1ccc9127f73558d8e86cb74d6506ff5b23af6956ff1ff26c839a4
docs/product/task-execution-contract.schema.json,compat,기존 Execution Contract/Assurance Packet schema·예시; #80/#82와 별도 version 경계,"#80, #82",70946d2c4584830e728b96877e04553af343344c0e7b728574982a90c14f4bb6
docs/product/task-guarantee-report.example.json,compat,구 Guarantee/Control 표현 및 runtime matrix 소비; 공용 검증과 Control category 분리,"#80, #82, #83",1e7bdea6ae638e1512cd54412b3e1afac27bfdae6b7347921240dd5342e04884
docs/product/task-guarantee-report.schema.json,compat,구 Guarantee/Control 표현 및 runtime matrix 소비; 공용 검증과 Control category 분리,"#80, #82, #83",688a1781096bcddcb37555a51fc73e6ed0fdda7e67131763a73ff4123764d9f8
docs/product/task-harness-manifest.imported.example.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",5dff41540932c6fc499eb1de56e407b9927d6f9cd134e6d470e702bd530ef30f
docs/product/task-harness-manifest.managed.example.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",1330840487184a970a30ab0785edf0619a4208a7d6ca133f3dd7656a575f5579
docs/product/task-harness-manifest.schema.json,compat,기존 Context/Profile/managed 계약 schema·예시; 원본 보존 및 소비 대체 후 전용 경계 정리,"#80, #83",19f50e0c4b4eac6abbf59b399721deea36360e36ceecc07d70eee2dbfc6b97f6
docs/product/향후계획.md,historical-only,이전 milestone 계획 기록 보존; 현행 roadmap 자동 승계 금지,#7,df7753580caeaea23ca5fa8407fed5b817cce27388c33e269184f0483e980301
docs/research/claude-code-and-grok-adaptation.md,historical-only,과거 플랫폼/라우팅 조사 보존; 새 Skill 채택 시 #81에서 근거 재검토,#81,40884c33e266dc3c336d5b57421ae5e0bc99a38e9dbf86d6fa1d9e1889217211
docs/research/using-superpowers-routing-pattern.md,historical-only,과거 플랫폼/라우팅 조사 보존; 새 Skill 채택 시 #81에서 근거 재검토,#81,efc5330d65f2b3aa4fe1e5ca97224c92c0f7f1f558b7703f45887543cd7ca61a
docs/reviews/m1.5/README.md,historical-only,M1.5 비교 실행·검토 기록 보존; 새 제품 성능 증거로 승계 금지,"#7, #83",14eeab0999b201f36f7f61a1d045924eef6fd98a25d1fb279b2be89d5199eff2
docs/reviews/m1.5/comparison-package.json,compat,과거 비교 자료이나 현재 Context 테스트/비교 실행 입력이므로 즉시 역사 전용으로 분리 불가,"#81, #83",256074b43f562e205c4eb9779dd072abeb90e61bdd05601f4189d6d5fab67dc7
docs/reviews/m1.5/fixtures/condition-b/AGENTS.md,compat,과거 비교 자료이나 현재 Context 테스트/비교 실행 입력이므로 즉시 역사 전용으로 분리 불가,"#81, #83",5c4c3d8c0bec540dd189602fc14350bf9a2cd8b41f15f3e55da6699772839731
docs/reviews/m1.5/fixtures/condition-c/AGENTS.md,compat,과거 비교 자료이나 현재 Context 테스트/비교 실행 입력이므로 즉시 역사 전용으로 분리 불가,"#81, #83",880ca4172b770856aa2841f5c60eb570fd2e098e96168257c135dad8f4df3c0d
docs/reviews/m1.5/fixtures/condition-c/task-reference.md,compat,과거 비교 자료이나 현재 Context 테스트/비교 실행 입력이므로 즉시 역사 전용으로 분리 불가,"#81, #83",6f022982c61dd1bcbe5019f20a9cf2e15350df4ad8073ce1c139be06a251cd06
docs/reviews/m1.5/run_comparison.py,historical-only,M1.5 비교 실행·검토 기록 보존; 새 제품 성능 증거로 승계 금지,"#7, #83",96b8ca179e7aaa74f3807d73310341f81c1df33c0b4cd12b29b662daf23213b9
docs/reviews/m1/README.md,historical-only,당시 slice/실행 결과·검토 기록 보존; 현행 M5 완료 증거 아님,#7,f48d96a90bdcae450022e60fd095b77cb1c0ce32f418246d71f4152d039bb4eb
docs/reviews/m2/README.md,historical-only,당시 slice/실행 결과·검토 기록 보존; 현행 M5 완료 증거 아님,#7,16377eceae11200674136ac7dc55e904ce01b8c65dc682cd86cdd4a3d0c01003
docs/reviews/m2/run_fixture.py,historical-only,이전 milestone 재현 실행기 보존; 새 lifecycle에서 자동 호출하지 않음,#83,f4c4b8827fb8678b49fc4b3545a51d156cad8b6793b8526e169d7e58b945a9cd
docs/reviews/m3/README.md,historical-only,당시 slice/실행 결과·검토 기록 보존; 현행 M5 완료 증거 아님,#7,69e1aad10cc4677b01fe8bfac58b565ec727653b1f76323f53dbc5d68582ff3a
docs/reviews/m3/observed-gate-summary.json,historical-only,당시 slice/실행 결과·검토 기록 보존; 현행 M5 완료 증거 아님,#7,6aa1450bca82fc5cb24f67fbb14079e6df6d61f736fe9c6f2c28aa210900878d
docs/reviews/m3/run_live_probe.py,historical-only,이전 milestone 재현 실행기 보존; 새 lifecycle에서 자동 호출하지 않음,#83,0eb82536244fce195a489200713d4d384a05dff7121f673782f2ed319e55ae55
docs/reviews/m4.5/README.md,historical-only,당시 slice/실행 결과·검토 기록 보존; 현행 M5 완료 증거 아님,#7,31deffbad64c31167560653790c5fe3a417baa57758f57a89b8b0b480b02f579
docs/reviews/m4.5/observed-slice-summary.json,historical-only,당시 slice/실행 결과·검토 기록 보존; 현행 M5 완료 증거 아님,#7,826ca9869014cfd836356b9f923163b6c41d0455a4c01d10631792d92885adff
docs/reviews/m4.5/run_slice.py,historical-only,이전 milestone 재현 실행기 보존; 새 lifecycle에서 자동 호출하지 않음,#83,db1c49d1fd3bfd6cf395bcc97c25fb6e53a24ed80aec290bb2a66ace6c5b74de
docs/reviews/m4/README.md,historical-only,당시 slice/실행 결과·검토 기록 보존; 현행 M5 완료 증거 아님,#7,e4153b9e8c5dc93ebddc77aaf749a831c8395c3eec291f5246f5ce1bb044cb5a
docs/reviews/m4/observed-gate-summary.json,historical-only,당시 slice/실행 결과·검토 기록 보존; 현행 M5 완료 증거 아님,#7,e89de8c05308d2096813f2b3aa9b140bc15ab6b4dc7e95d7d03080570217adbc
docs/reviews/m4/run_fixture.py,historical-only,이전 milestone 재현 실행기 보존; 새 lifecycle에서 자동 호출하지 않음,#83,68c19f1ab6a88e122f361c92d28e1c4677f86679fd1cf1f9b15993cb0c9e4084
docs/spikes/README.md,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",61045a2deae69b8e3260dfe4a45ff9fd9f5688ed053a9636e9483edbabbca44e
docs/spikes/codex-desktop-integration.md,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",b9e55cd095c43ac222e68cbd752ed369ff71b9956fefc0e1494b7234ce4e541f
docs/spikes/control-validation-coverage.md,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",d499df74ef69fbdadb9d62fbad26f112bb53547b001afb691c927400620f5a5d
docs/spikes/event-evidence-store.md,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",304664fe7ebdae3d78a6a417bcb242e461180052a0d2f35f997a6e21e1571874
docs/spikes/guarantee-matrix-fixtures.json,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",20980314e9d674ea1066f67f52b20c1f4fe37aa569a0c633d1c7233b6853c05d
docs/spikes/guarantee-matrix-v1.md,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",a8ccaf3f414ac73ce31e41ddb8384edea2081be078546d630952074c9e790f68
docs/spikes/m0-01-baseline-audit.md,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",c3fe062a162481ab92f1de1e264e784732a50ffcdc6172e801ea2abe264a23d2
docs/spikes/probes/m0-01-baseline-probe.sh,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",84643af219ad8720dd53a3c8cd84f06d77c9a670dc73f88b1fc23d689d4b4965
docs/spikes/probes/m0-02-03-codex-capability-probe.sh,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",e60ca3e74782775a79bbf5aebfb502e6faab57ddf22f4cad40a2a7e1ebd76c19
docs/spikes/probes/m0-04-guarantee-matrix-probe.sh,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",2a21def87934f98e31c16eaf4f8e987a271214bca9153a7802b3317cb79fd9b7
docs/spikes/probes/m0-06-store-probe.sh,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",9ccf674359ae6425f3ee06ab33df1ed3614957cdc2a59fb764faf7eef013c2b0
docs/spikes/superpowers-vendoring.md,historical-only,M0 조사·probe·fixture 이력 보존; 현행 환경과 성능 검증으로 승계 금지,"#7, #79",7f1e0e55c1158bba313df2456c2dfbd408af19eeb0b187934ec0fc6fbe3e47b5
docs/superpowers/plans/2026-09-04-m1-evidence-core.md,historical-only,M1~M4 구현 계획·설계 이력 보존; 현재 실행 지시로 재사용하지 않음,#7,895dadebfe25acea4ccac22a3fb3d3f225af8f117add5101432f29450c76c5f5
docs/superpowers/plans/2026-09-05-m1.5-context-architecture.md,historical-only,M1~M4 구현 계획·설계 이력 보존; 현재 실행 지시로 재사용하지 않음,#7,32d487d9183bbd4b7cdc4cf7ca1f77595a6aa50071fa70090cc6a80836d62031
docs/superpowers/plans/2026-09-05-m2-control-profile-lifecycle.md,historical-only,M1~M4 구현 계획·설계 이력 보존; 현재 실행 지시로 재사용하지 않음,#7,0e9d7ecc4929f2d36fc7f7bd01099a874c73fbfe6f90935eec4ccabb699bbb05
docs/superpowers/plans/2026-09-05-m3-managed-task-integration.md,historical-only,M1~M4 구현 계획·설계 이력 보존; 현재 실행 지시로 재사용하지 않음,#7,d7caaab7d1f9a78e73e0ba9607c8059fcc9c19b00adf13d4cf018910c2668ac1
docs/superpowers/plans/2026-09-06-m4-assurance-pipeline.md,historical-only,M1~M4 구현 계획·설계 이력 보존; 현재 실행 지시로 재사용하지 않음,#7,419f2ad9242837079fa7495317912ff1f4047ae14f12bf944b7b009df89e1645
docs/superpowers/specs/2026-09-05-m3-managed-task-integration-design.md,historical-only,M1~M4 구현 계획·설계 이력 보존; 현재 실행 지시로 재사용하지 않음,#7,252ffa1f3b2dda39d7dc339225af835d6fa391053feb012e764ca2376e1134cb
docs/superpowers/specs/2026-09-06-m4-assurance-pipeline-design.md,historical-only,M1~M4 구현 계획·설계 이력 보존; 현재 실행 지시로 재사용하지 않음,#7,3c8ececad4cb35dd24d1573a2220c1420cf99e7790289eda04049e9e10c6a50c
mcp.json,compat,현행 패키지 metadata/서버 진입 설정 유지; 새 Skill/API 노출은 #81과 정합화,#81,26965190b8f50741edc489a8762a3e962dc02b8ccc41448672bf46037e53370e
plugin.json,compat,현행 패키지 metadata/서버 진입 설정 유지; 새 Skill/API 노출은 #81과 정합화,#81,b15a057831e2c2218e4b893a6394be0c14ba0061270f8ebc3d9cf4a3ca2099fe
pyproject.toml,keep,현재 패키지·재현 환경·Git 제외 기반 보존; 불필요한 변경 없음,#79,923b169b936b62699f62562fed217d4bc6f5d9c2110c96d98da3c4a241c76e21
skills/context-validation/SKILL.md,remove-later,Context 전용 본문을 새 lifecycle 필수 단계에서 분리,"#81, #83",07b793d23d38161236779d5a590d5b56a2af7c63c11370c8c4dd3d42d21c5695
skills/execution-control/SKILL.md,compat,create/import/restore와 managed/candidate 실행통제 혼합; 단계별 재배치,"#81, #83",04205a133db4b08009ff979c6dd4f3c10a60954b1589b857703aaa90000658c2
skills/harness-profiler/SKILL.md,remove-later,환경 profile/compile 본문 분리; contract 생성 연결은 Core에서 별도 호환,"#80, #81, #83",980840db46027742433236fee4c0f059c7664ad82cfe8e145e7efc7a516cd90f
